BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_INIT,P(INIT)_FINAL
21035,1972,PARG,0,1
21040,1972,SENT,0,1
21051,1972,NOVL,0,0
21054,1972,PARG,0,1
21059,1972,PARG,0,1
21067,1972,NOVL,1,1
21071,1972,NOVL,0,0
21082,1973,SENT,0,1
21085,1973,SENT,0,1
21086,1973,PARG,0,0
21089,1973,NOVL,1,1
21094,1973,PARG,0,1
21116,1973,PARG,1,1
21121,1973,NOVL,0,1
21126,1973,NOVL,0,1
21132,1973,SENT,0,1
21146,1973,NOVL,0,0
21149,1973,PARG,1,1
21152,1973,SENT,0,1
21158,1974,PARG,0,1
21159,1974,SENT,0,1
21170,1974,NOVL,0,1
21180,1974,PARG,1,1
21182,1974,SENT,0,1
21192,1974,PARG,0,1
21200,1974,NOVL,0,1
21210,1974,NOVL,0,1
21223,1974,NOVL,0,1
21224,1974,PARG,0,1
21232,1975,SENT,0,1
21239,1975,SENT,0,1
21241,1975,NOVL,0,0
21244,1975,NOVL,0,1
21247,1975,SENT,0,1
21251,1975,SENT,0,1
21269,1975,PARG,0,1
21271,1975,PARG,0,1
21285,1975,NOVL,0,1
21293,1975,NOVL,0,1
21295,1975,PARG,0,1
21299,1976,PARG,0,1
21306,1976,NOVL,0,0
21309,1976,SENT,0,1
21318,1976,SENT,0,1
21319,1976,PARG,0,1
21324,1976,SENT,0,1
21335,1976,PARG,0,1
21337,1976,NOVL,1,1
21344,1976,NOVL,1,1
21367,1976,SENT,0,1
21379,1976,NOVL,0,0
21386,1976,PARG,0,1
21393,1977,SENT,0,1
21402,1977,SENT,0,1
21409,1977,NOVL,0,0
21410,1977,PARG,0,1
21411,1977,NOVL,0,1
21415,1977,SENT,0,1
21429,1977,PARG,0,1
21433,1977,NOVL,0,0
21434,1977,PARG,0,1
21436,1977,NOVL,0,0
21465,1977,SENT,0,1
21482,1977,PARG,0,1
21495,1978,NOVL,0,0
21497,1978,PARG,0,1
21513,1978,NOVL,1,1
21522,1978,NOVL,1,1
21529,1978,SENT,0,1
21536,1978,SENT,0,1
21560,1978,SENT,0,1
21562,1978,PARG,0,1
21572,1978,PARG,0,1
21582,1978,NOVL,0,1
21587,1978,SENT,0,1
21597,1979,SENT,0,1
21608,1979,PARG,0,1
21609,1979,NOVL,0,0
21614,1979,PARG,0,1
21616,1979,NOVL,0,0
21634,1979,PARG,0,1
21637,1979,PARG,0,0
21652,1979,NOVL,0,1
21654,1979,NOVL,0,1
21671,1979,SENT,0,1
21672,1979,SENT,0,1
21685,1979,SENT,0,1
21698,1980,PARG,0,1
21705,1980,NOVL,0,1
21708,1980,NOVL,0,0
21717,1980,SENT,0,1
21729,1980,SENT,0,1
21751,1980,SENT,0,1
21764,1980,NOVL,0,0
21770,1980,PARG,0,1
21774,1980,SENT,0,1
21790,1980,PARG,0,1
21797,1980,PARG,0,1
21805,1980,NOVL,1,1
21806,1981,SENT,0,1
21810,1981,SENT,0,1
21821,1981,PARG,0,1
21823,1981,SENT,0,1
21829,1981,PARG,0,1
21851,1981,PARG,0,1
21856,1981,PARG,0,1
21864,1981,NOVL,0,1
21872,1981,NOVL,1,0
21880,1981,NOVL,0,1
21896,1981,NOVL,0,0
21919,1982,PARG,0,1
21929,1982,NOVL,0,0
21938,1982,PARG,0,1
21951,1982,SENT,0,1
21955,1982,NOVL,1,1
21965,1982,SENT,0,1
21974,1982,NOVL,1,1
21981,1982,NOVL,1,1
22001,1982,SENT,0,1
22007,1982,PARG,0,1
22031,1982,SENT,0,1
22069,1983,NOVL,0,1
22079,1983,SENT,0,1
22082,1983,NOVL,1,1
22086,1983,NOVL,0,0
22088,1983,SENT,0,1
